time,frequency,confidence
10.060,1954.695,0.007960
10.070,1930.848,0.005498
10.080,1901.869,0.003890
10.090,1873.748,0.004306
10.100,1861.590,0.002137
10.110,1859.280,0.000723
10.120,1797.613,0.000311
10.130,1767.991,0.000683
10.140,1748.687,0.002264
10.150,1735.733,0.007038
10.160,1719.959,0.015388
10.170,1706.718,0.017593
10.180,1696.764,0.031087
10.190,1686.444,0.027610
10.200,1676.631,0.009102
10.210,1661.276,0.008486
10.220,1659.305,0.005081
10.230,1118.505,0.002387
10.240,579.237,0.003763
10.250,586.219,0.011445
10.260,588.354,0.017195
10.270,589.779,0.009159
10.280,1049.415,0.005078
10.290,1042.676,0.009929
10.300,1039.794,0.015691
10.310,1031.595,0.014872
10.320,1003.759,0.005975
10.330,1971.794,0.003841
10.340,991.306,0.005166
10.350,1453.958,0.008762
10.360,1451.808,0.019345
10.370,1450.301,0.048181
10.380,1462.220,0.012694
10.390,1464.983,0.010296
10.400,372.660,0.063354
10.410,364.025,0.020179
10.420,1440.031,0.010090
10.430,1445.775,0.034274
10.440,1444.593,0.022732
10.450,1968.164,0.018301
10.460,1975.904,0.046738
10.470,1981.426,0.103754
10.480,1973.833,0.039348
